City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
328,Nanpara,IN,27.8667,81.5,85.26,56,0,0.85,clear sky
329,Wangqing,CN,43.3218,129.7634,62.82,95,100,5.75,light rain
330,Kathu,TH,7.9178,98.3332,85.75,83,100,1.66,overcast clouds
331,Paramonga,PE,-10.6667,-77.8333,62.53,81,24,13.09,few clouds
332,Yablonovo,RU,50.8523,37.3574,52.21,87,43,4.76,scattered clouds
333,Sivas,TR,39.7916,37.0019,47.03,100,0,2.3,clear sky
334,Sioux Lookout,CA,50.1001,-91.917,59.27,90,96,11.45,overcast clouds
335,Staritsa,RU,56.5075,34.9354,50.0,89,100,6.29,overcast clouds
336,Coari,BR,-4.085,-63.1414,72.84,97,12,2.37,few clouds
337,Kaeo,NZ,-35.1,173.7833,64.33,81,100,3.83,overcast clouds
338,Skeldon,GY,5.8833,-57.1333,75.43,89,100,5.32,overcast clouds
339,Ponta Delgada,PT,37.7333,-25.6667,69.49,82,75,6.91,broken clouds
340,Shasta Lake,US,40.6804,-122.3708,80.96,23,100,5.39,overcast clouds
341,Hovd,MN,48.0056,91.6419,67.19,28,100,6.11,overcast clouds
342,Creston,US,41.0586,-94.3614,76.37,72,0,3.69,clear sky
343,Sakakah,SA,29.9697,40.2064,84.88,21,0,9.35,clear sky
344,Raudeberg,NO,61.9875,5.1352,52.86,94,88,8.25,overcast clouds
345,Vero Beach,US,27.6386,-80.3973,84.97,78,20,3.44,few clouds
346,Nizhniy Kuranakh,RU,58.8353,125.4869,65.8,58,100,6.69,light rain
